Unnamed: 0,urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview
2010,vicodin,4,Moderately Effective,Severe Side Effects,surgery recovery,"Relieved pain, helped me fall asleep","I had severe constipation and nausea, along with some onfusion, dizziness, and cramping.","I stopped taking Vicodin and switched to over the counter tylenol as a remedy because the side effects were so severe and negative.  I was constantly, severely nauseated after taking Vicodin.  My body did not tolerate this drug well at all."
3650,retin-a,8,Considerably Effective,Moderate Side Effects,"skin agind, sun damage",My skin definitely looks smoother and firmer than it actually did when I was 38 and started on the Retin A.,I had alot of peeling in the begining and redness.,I started out with the lowest does and gradually went to the highest. Now I don't have any reaction from it.
1415,adipex-p,8,Considerably Effective,Mild Side Effects,weight,Used for weight management and food intake control.  It is also supposed to give energy.  It definitely worked for cutting my appetite as long as I took it twice a day.  If I took it once a day at about 8 am I would feel hungry at about 5pm.  If I took it twice a day 8 am 10am I could make it to bedtime without being hungry.,Side effects were random for me most of the times.  I would definitely NOT feel the energy that it was supposed to give me.  Sometimes when I would take it it would have the opposite affect on me and actually make me crash.  On some days it would make me feel foggy and other days I'd feel crisp and clear.  I also broke out with pimples on it.  You have to remind yourself to eat.  Some days I'd also have trouble falling a sleep.,"I would take 1 30mg pill in the morning at about 8am and then another 30mg pill at about 10am (sometimes trouble falling asleep if taken later).  I have done that for 2 months.  At the beginning I started off with only 1 pill a day.  I try to ""self administer"" my breaks in taking the medicine because I've heard it was addictive and I don't want to be addicted."
2591,proloprim,9,Highly Effective,Mild Side Effects,acne,"Dermatologist suggested trial of trimethoprim 2x per daily, once morning and once in the evening. Diminished acne resulted within the first month and more significantly for the following months. After 1 year, patient reduced to taking pill once per day.","Side effects were mild, but a similar derivative had significant side effects so this patient recommends trying another sulfur-based drug if this once poses problems. Side effects with trimethoprim included very mild sun sensitivity-simply use a sunscreen; occasional yeast infections once or twice per year; upset stomach if taken without food.",Patient suffered acne for over 15 years and had been treated with various oral and topical medications. Oral medications included most typical antibiotics and Accutane. Results were less than ideal. D
1862,augmentin,8,Considerably Effective,Mild Side Effects,earache/sinusitis,"After the first day on this drug, my ear pain was gone.  Sinuses cleared soon thereafter.","While taking augmentin, I had trouble sleeping.  When I did finally fall asleep, I had very vivid, strange dreams.  Also noticed mild vaginal discharge.  Some dizziness, but nothing major.",I feel that this med did the job of clearing my sinus infection and ear pain.  Side effects were bearable.  I would take it again.
3491,serzone,3,Marginally Effective,Severe Side Effects,depression,Lessened depression,It made me groggy during the day & made me sleep the sleep of the dead at night (not such a bad side effect).  I also had dry mouth & it sometimes caused mild nausea on an empty stomach.,"I took this med after trying others for depression.  It worked pretty well.  I decided to taper my dose down when I got pregnant & was off completely when my son was about one month old.  Since then, I have kept my depression under control effectively through diet & exercise."
1813,humira,9,Highly Effective,Mild Side Effects,rheumatoid arthritis,The joint pain becomes considerably less within 24 hours of the shot.  I have more energy and almost no more nausea.,I had a rash from the 2nd shot but it went away and has not come back.,This medicine is given subcutaneously by a sho every 1-2weeks. I take it in combination with arava.  I almost never take prednisone anymore and only take celebrex one time a day instead of two.
2242,accolate,1,Ineffective,No Side Effects,capsuar contracture of breast implant,"The benefits were not good, and this drug was very expensive and was not effective at all for the problem I was experiencing.  At the time when I was experiencing complications from the implants, I truly believed that my Doctor did not prescribed the drug in time.  The literature I read on this drug claims that it is more likely to work if used early in the treatment of Capsular Contracture.",I tolerated the medication very well.  I didn't experience any illness or side effects from Accolate.  I felt a strong mental negativity towards the drug when it was prescribed based on the literature I read and my Doctor's statement about being treated early.  I think I tried the treatment knowing in my mind that it was not going to work.,"I was required to take Accolate for three months to promote softening of my Breast Implants. The 20mg tablets were to be taken twice daily along with continued daily massage of my breasts.  My Doctor said that the treatment had more chances of being effective if used early in detecting the Capsular Contracture (My treatment was started 5 months after the breast implant surgery).  If the treatment didn't work, he advised, I would need surgery."
178,cardura,8,Considerably Effective,No Side Effects,problems with my prostate,Reduced prostate pain.,None that I am aware of.,I took this medication to reduce pain I was experiencing with my prostate.  It took about two to three weeks after which the pain was significantly reduced.  I was also experiencing a sense of tightness in this area that it eliminated.
500,paxil-cr,4,Moderately Effective,Moderate Side Effects,depression,"It reduced some of the side effects of depression such as insomnia, frequent crying and feelings of hopeless.","Weight gain (25 lbs.), difficulty concentrating, cravings for carbohydrates, lack of interest in sex.","Withdrawing from the drug was done slowly, with a gradual reduction over a six week period. Treatment was accompanied by talk therapy. The withdrawal from the drug itself was difficult, as it led to the emergence of anxiety and panic attacks and a new case of mild depression."
3827,lumigan,10,Highly Effective,Mild Side Effects,o increase length and fullness of eyelashes,My eyelashes grew extremely long.,"If I got any of the product on my eyelids, it stained them purple.","This was prescribed off-label to me. It is a potent glaucoma drug. It is essential that you not get it in your eyes or on your eyelids. It only needs to be painted on the eyelashes, away from the eyelids, to be effective. Results were seen within a month."
3059,oxycodone,9,Highly Effective,Moderate Side Effects,scoliosis,reduce pain levels and resume daily life without interferance from pain. Reduce pain in order to proceed with physical therapy.,tired at times & upset stomache,Take up to 6 times a day for pain
2721,elavil,10,Highly Effective,Mild Side Effects,insomnia,"Did not wake up in the middle of the night, HIGHLY IMPROVED quality of sleep, and improved body relaxation.  was able to stop using alcohol to stay asleep.","sometimes dry mouth, and if too much was taken, and sometimes residual drug in body which made one feel logy.",As needed for sleeplessness (waking around 3am and not being able to return to sleep.
3248,nuvaring,3,Highly Effective,Extremely Severe Side Effects,i kept getting pregnant. no more stairs.... please,Never got pregnant,"My dosage was so high that at the end of a week I couldn't fit any more up there.  My boyfriend couldn't get his member inside of me, and when he finally did it gave him severe gouges on his shaft.  It caused me to stop eating, and when I did I just threw it up... It caused me to become violent, I even struck my boyfriend a few times during an argument.  I was on my period the entire week, the bleeding just wouldn't stop.  It was horrible.  Not to mention, the pain I felt inside of my vagina was tremendous.  I could hardly sit down by the end of the week.  I do not recommend that anyone believes this.","I used five rings daily, before every intimate encounter.  Ouch!"
881,paxil,8,Considerably Effective,Moderate Side Effects,anxiety,"Significant reduction in feelings of anxiety, angry feelings, and social anxiety. Normalizing of affect, increased ability to focus on tasks and to cope with minor stressors. I felt a sort of reorganization of my thought processes, no longer brooded interminably about minor failings or ineffective social interactions or the presumed opinions of others about my worth. No longer hypervigilant about social cues. ""So this is what it's like to be normal!""","Initially, but eventually disappearing side effects: drowsiness, severe nausea, inability to achieve orgasm, trembling, lack of affect. When failing to take medication, ""brain shocks"" like electrical lightning in brain.",Took 20 mg of paroxetine each morning (easier to remember in the morning). Reviewed effectiveness with prescribing physician every 3 months.
1700,retin-a-micro,10,Highly Effective,Mild Side Effects,wrinkles,"I started using Retin A about 20 years ago in my late 20's to ward off wrinkles.
But even at .05% it was irritating and my skin would be fine one day and be peeling like a snake the next. When Retin A micro came out, my dermatologist reccomended it. It has worked much better with very little irritation. I use it nightly as the sun is supposed to render it inactive.I am 46 and with Botox have no wrinkles and little sagging",Peeling with Retin A  and none with Retin A Micro .1%,As stated I used tretinoins for preventive measures in late twenties and continue to use them today at 46. I use .1% Retin A Micro nightly with  no side effects
273,progesterone,10,Highly Effective,No Side Effects,"severe stomach pains, dizziness","I have had stomach troubles my entire life. When I was pregnant they were unbearable.  I could never take the pill because of nausea. I noticed that when I was 45 the nausea was associated with my cycle, becoming most intense just prior to my period.  My gastroenterologist prescribed Nexium, which I took for a year, maximum dosage, daily and then tapered off. Then the other symptoms above emerged. When I started with the progesterone all these symptoms subsided significantly and I rarely ever have stomach problems now.",None at all that I am aware of.,"Prior to taking the oral treatment I used the cream, to avoid the digestive tract altogether.  This was fine for about a year, but then the symptoms reappeared.  My physician felt that something was interfering with the absorption of the hormones and so prescribed the oral pill and the symptoms have nearly disappeared and I have had no associated stomach problems.   I am convinced that much of my stomach problems throughout my life were associated with a hormonal imbalance, but cannot prove this.  I do know that this is the best my stomach has ever been in my entire life, for whatever reason."
3419,tazorac,6,Moderately Effective,Moderate Side Effects,facial acne,"Always prescribed together with topical antibiotics such as Klaron.  Quite effective in curing acne, but takes months and situation gets worse in the first week to month.",Tazorac can peel the skin severely when used together with other medication.  Still moderate peel when applied once every night.,"I'm an Asian female in my 30s and have been having moderate acne problem for over 20 years.  Amoung over-the-counter medication, only benzal peroxide works for me, but I still have break-outs from time to time.  My primary care doctor prescribed Tazorac and Klaron for me about 2 years ago and it was very effective in clearing up the acnes in a few months.  But even the prescription cannot fully cure the problem and doesn't prevent future break-outs."
763,flonase,7,Considerably Effective,No Side Effects,runny nose/ allergies,"The runny nose would stop about 30 minutes after I used flonase, but would return again within hours after taking the medication. It definitely cleared my sinuses, but sometimes left my nose feeling dry. Probably better as a sinus clearer than at alleviating all allergy symptoms.",There were no treatment side effects.,"Treatment only involved twice a day use, squirting the liquid up each nostril. Not inconvenient at all."
1608,coreg,10,Highly Effective,No Side Effects,heart,"lower blood presure,ability to exercise for a longer period of time with out chet pain, same activity while on coreg results in an average reduced heart rate of 20 beats per min.when off the drug exersise tolerance was greatly diminished resulting in angina",none,taken .25 in the am. then .25 in the evening
1609,dapsone,8,Highly Effective,Moderate Side Effects,dermatitis herpetiformis,Dapsone treated the intensly itchy skin condition quickly and efficiently.  A gluten free diet alone did not relieve this condition.,The side effects after one year have been a slight decrease in red blood count.  There has also been an onset of shakyness which I believe has been a side effect.,"2-100mg tablets are taken at bedtime.  The dosage is self medicating, which means that if the condition is under control I can lower the doseage to see if the contrlo can be maintained at a lower dose.  So far, after one year, I have been unable to do so."
2105,renova,10,Considerably Effective,No Side Effects,"aging skin, few break-outs, hyperpigmentation","My skin is clear and people have complimented me on the appearance of my complexion.  My rosacea is under control, my hyperpigmentation is fading","No side effects except that I notice my skin is a bit tighter/drier, but this could be because it's winter  and I need a much better day/night  moisturizer.","I alternate glycolic acid 20% cream, tretinoin .05% cream, or Noritate cream under day or night moisturizer (ie a different treatment applied morning and night; the next day starts with treatment not used previously)"
2528,lamisil,10,Highly Effective,No Side Effects,athletes foot,"Completely cleared up the condition. Without using messy creams, or powders.  Prevented it from spreading to other body parts.",I experienced no side effects.  Although I had too take some blood tests in order to make sure it wasn't damaging my liver.  It can cause liver damage.,Took one pill orally per day for a period of 40 days.
3227,nuvaring,7,Considerably Effective,Mild Side Effects,acne and birth control,"I switched from Diane 35, a birth control pills recommended specifically for acne and was very worried that the nuva ring would cause an acne flair up, as switching from Diane to Yasmine had. Fortunately my skin stayed just as clear and as a plus no more taking pills nightly","slight vaginal irritation at the end of a cycle, nothing even moderately serious though.",Nuva Ring is a brand name birth control method which releases hormones through the vaginal walls. You insert a flexible plastic ring once a month for three weeks and it acts as birth control.
1854,augmentin,6,Highly Effective,Mild Side Effects,klebsiella pneumonia infection,Cleared up pneumonia infection.,"For me, mild diahrrea.  For my partner, extreme stomach pain after taking the medication with insufficient food and water.  The pain lasted about 6 hours.  He wasn't irreparably doubled over in pain, but he was incapacitated. He was able to take his next and subsequent pills without problem.","On medication for 2 weeks, 3X a day.  Infection cleared up about 2 days after I finished."
3070,oxycodone,9,Highly Effective,Mild Side Effects,chronic pain from degenerative lumbar disc disease,eliminated my pain which allowed me to function at an almost normal level. i was mostly bedridden prior to treatment,moderate constipation,"was on combo oxycontin/oxycodone therapy for aprox 6 months before switching to just oxycodone. the oxycontin left me feeling groggy and unable to concentrate. it also left me with pain peaks and valleys. by switching to oxycodone only, i was able to keep my blood levels at a more constant rate and my pain was controlled consistently. with oxycontin my doseage kept increasing. with oxycodone my doseage was stable and eventually was able to decrease my doseage from 60mg every 6 hours to 30mg"
1476,cymbalta,8,Considerably Effective,Mild Side Effects,fibromyalgia,"eased depression , helped sleep By submitting an online review, you agree that all information contained in your review is original and accurate, and that the submission of such content by you and the posting of such content by DrugLib.com do not and will not violate the rights of any third party. You also agree that all submitted reviews and copyright thereof become the sole property","no appetite, lack of mental focus By submitting an online review, you agree that all information contained in your review is original and accurate, and that the submission of such content by you and the posting of such content by DrugLib.com do not and will not violate the rights of any third party. You also agree that all submitted reviews and copyright thereof become the sole property","cymbalta for depression and fibromyalga sleep problems; focail for energy and concentration By submitting an online review, you agree that all information contained in your review is original and accurate, and that the submission of such content by you and the posting of such content by DrugLib.com do not and will not violate the rights of any third party. You also agree that all submitted reviews and copyright thereof become the sole property"
319,ativan,9,Considerably Effective,No Side Effects,sleep disorder/anxiety,"well, the main treatment benefit was that it did help me go to sleep faster, even better than the melatonin that I was taking before i went to bed. Another benefit of taking this prescription drug was that it helped me with my anxiety. I have considerably much less anxiety than I did before taking this.",there were no side effects.,"1-2, 1 milligram pills per day as needed."
184,adderall,5,Considerably Effective,Moderate Side Effects,depression,"Increased productivity, ability to stay awake during the day.",Dry lips & mouth.  Teeth grinding.  Tough time sleeping.  Highly addictive.,This was used in conjunction with Lexapro for depression.  I started taking it to keep myself awake (drowsiness as a side effect of the LExapro).  However I quickly lost about 10 lbs and couldn't stop moving around.  Eventually my thinking became jumbled (I don't have ADD).  I was constantly thinking in circles.
2939,prednisolone,1,Highly Effective,Severe Side Effects,r/a,first cople week felt great swelling down no pain fulll of energy wanted to go jogging,"big fat face,body ectdepressed mood swings up and down dont want to go out the house gained about a stone only been on it for 4 weeks some and pain swelling back feeling ill and night swets and spots over face and body feeling iritabill and can not think straght could go on",start on 60mg second week 50mg third week 40 forth week 30 and had anough
2901,cyproheptadine,3,Considerably Effective,Severe Side Effects,"allergy, runny nose, hay fever",It stopped running nose and sneezing.,"Terrible drowsiness and weakness, I could sleep all day then","Just one pill and then I was unadequate on daytime, I had to stop, I didn't understand what happened and when with new doze drowsiness appeared again I understood what the problem was, and the third time I just tested to be sure, that I can't function normally with this drug, although it stopped running nose."
3501,maxalt,9,Highly Effective,No Side Effects,migraine,"got relived from migraine , nausea, head aches

Works in 30 mins
It is oral tablet available in both 5mg and 10mg dosages",I did not have any side effects. But people taking this medication should not take few medications which will increase the side effects of Maxalt. You can find those drugs at http://www.internationaldrugmart.com/maxalt.html,I took once a week
3021,cipro,1,Ineffective,Extremely Severe Side Effects,prostate procedure,none,"A completely fit and healthy male who exercised 6 days/week who decided to have a prostate procedure to alleviate inflammation.  Placed on Cipro pre and post.  No signs of infection in autopsy.  Upon arrival to hospital 2 weeks post procedure, had extremely elevated enzymes(muscle and cardiac) and died within 3 hours.  Result of biopsy : cardiac arrest due to multi organ failure.",Treated with Cipro for prophalaxis prostate.
2040,cozaar,10,Highly Effective,No Side Effects,high blood pressure,"I must have tried 15 different blood pressure meds over the last 7 years.  None of them worked.  I was on Benicar, but the insurance no longer covered it.  So my Dr. switched me to Losartan.  WOW, what a difference.  I now have perfectly normal blood pressure.",,See above.
843,ritalin,10,Highly Effective,Mild Side Effects,adult add,"allowed me to focus on the tasks at hand, run a business and get things accomplished","tolerance builds up to point where drug looses effectiveness.  higher doses needed to function, but dr declines to increase dosage","before ritalin, artificial stimulants were required to be effective, withour stimulants I was unable to motivate myself to do the things that needed to be done & was very ineffective.  Cocaine got me through grad school & my thesis, but ritalin allows me to function with out illegal stimulants -- problem is finding a doctor who will write rx for the dosage that is most effective (i.e. 20 mg 5x / day).  I am interested in a study that monitors efficacy / tolerance in patients who need / take high dosage on a long term basis."
541,trazodone,10,Highly Effective,Mild Side Effects,problem staying asleep,"I am able to fall alseep within the 30 minutes of taking the drug. The drug helps with anxiety so I worry less while waiting to fall asleep.  I usually wake
up only once to use the bathroom compared to 2-3 times when I didn't have the drug. I wake up refreshed and it Cheap too.",The drug is not physically addicting but can be habit forming for pychological reasons.,Take one Tablet by Mouth at bedtime.
1141,aromasin,9,Considerably Effective,No Side Effects,breast cancer,"Aromasin's treatment benefits are unknown.  I have not had a reoccurance of breast cancer while on the drug, though unsure we can attribute that with the drug treatment itself.  Perhaps there are other positive health-related items coming into play, such as exerciase and eating habits.  Not aware of any side effects or adverse reactions.  Drug is very expensive, however.","As mentioned above, I have not had any side effects from Aromasin other than hot flashes and night sweats.  These may be due to menopause rather than the treatment itself. The hot flashes have been relatively mild and can be controlled, for the most part, by limiting or removing all alcoholic beverages.","After breast cancer treatment of chemo. and radiation I was put on Tamoxifen for several years, about 5 years.  After Tamoxifen, it was recommended that I start taking Aromasin, which I have done for about 3 years.  My doctor said it is not known how long women should be on Aromasin and still receeve a benefit from taking the drug."
2525,diflucan,3,Moderately Effective,Moderate Side Effects,yeast infection,Eliminate yeast infection,"The yeast infection occurred after taking oral antibiotics.  After I took the first dose of Diflucan, I developed an itchy, raised, red, rough rash on both sides of my face and the yeast infection only moderately improved.  I took a second dose a week later and the same problem occurred.  After that incident I discontinued use.  The Diflucan never did resolve the yeast problem and for months after I continued to suffer from skin rashes that may or may not have been related.  Eventually the yeast problem went away by taking probiotics and an herbal Usnea tincture.",One single dose oral pill.  Repeated dose one week later.
65,flexeril,7,Considerably Effective,Moderate Side Effects,back pain,"I had very bad lower back pain with spasms and considerable swelling on my left side, to the extend that when standing, I was leaning to my right.  Flexeril took care of most of the pain and much of the swelling.","I felt much less alert -- not tired or sleepy, exactly, but sort of like inebriated, but without the buzz.","Once the swelling and discomfort were at a manageable level, I saw a chiropractor.  Although his ultrasound treatments weren't particularly effective, I greatly value the information he gave me relating to how I should sit, lie, stand, helpful exercises, etc."
867,paxil,8,Highly Effective,Moderate Side Effects,depression and anxiety.,"Completely ceased all anxiety, and I am now able to participate and enjoy life fully.","Has made me gain weight and became more easily fatigued (all SSRI can disrupt REM sleep phases, resulting in less satisfying rest). During the last few years, when I have been stable and very happy, I have tried several times to cease the medication, including under the support of a naturopath. This medication is very hard to get off without significant side effects (including vertigo and nausea), however, as my medicxal professional has stated, some people just need to stay on them for a longer time.","I have been on 20mg (one tablet) of Paroxetine for around 5 years now, as well as see a psychologist for 6 months."
3262,zoloft,7,Highly Effective,Moderate Side Effects,depression/anxiety,"depression greatly reduced, anxiety lessened.","weight gain, sexual disfunction.",treatment began for post partum depression and continued once adjustments were made.
4098,chantix,10,Highly Effective,No Side Effects,qit smoking,"enabled me to quit smoking, I think it works well, and even better combined with zyban/bupropion",no side effects,"Choose a future date to quit smoking. (I picked a date 3 months in advance)Start taking the pills a couple weeks before the quit date.  I actually started smoking less without trying.  Chantix interfers with the pleasure receptors in your brain, so smoking is not very satisfying.  I have now been smoke free for 1 month."
1138,methadone,6,Highly Effective,Mild Side Effects,opiod addiction,It worked but then I became addicted to methadone so basically it just traded one addiction for another. I don't take as many Methedone a day as I did pain pills because Methadone is long lasting so I guess it did help me.,At first I got painful headaches but that subsided after continued use. I do still have horrible constipation and  I have sexual dsyfuntion.,"I began recieving Methadone when I was 21 years old. I started seeing a pschiatrist because I needed help for pain pill addiction. I began getting prescriptions for hydrocodone when I was 19. I have an abnormality in my lower back which causes me severe pain. I began taking more than I was supposed to for the pain and was taking anywhere from 20 to 30 pain pills a day. So I knew I needed help. That's when my doctor gave me Methadone. He gave me 60mg a day but I usually only took 40mg depending on what I needed. Over the years I have weaned myself down to 20mg a day and everyone even my doctor says to me that I should be able to come off of these pills easily but no one understands the physical and psychological symptoms I go through. It's so hard to just stop taking them when I have became so depended on them in my daily life. I have four kids and with out them I feel like a different person and it takes everything in me to get out of bed and take care of my kids. Is it in my head? I don't know but either way, in a lot of ways it helped me but in a lot of ways it ruined my life. I don't want to be addicted to a pill for the rest of my life. Now my doctor has stopped giving them to me because he feels that I can come off them easily at such a low dose but what does he know he does not understand what it feels like. I am at such a downfall in my life, I have to buy them now just to feel normal every day. I feel like if these doctors give them to me then they should help me with the withdrawals ao I can get off them. I still need help after all these yesrs. I don't have a car to drive to a methadone clinic everyday and no one to help me. So what are people like me to  do?"
3175,prednisone,2,Highly Effective,Extremely Severe Side Effects,cornea transplant rejection,"60ml of Prednisone saved my cornea transplant.
Saved me from having to have another surgery on an already tramatized eye.","The side effects were terrible.
Hiper, trouble sleeping, shaking, depression severe depression.
Depression that I have never had before.","60 ml of prednisone for 3 weeks to a month
saved the transplant."
1032,vyvanse,9,Highly Effective,No Side Effects,inattention  and disorganization,"Vyvanse has greatly improved my mood and the way I look at the day .I am able to concentrate and finish a job. I am also in a much better mood than when just on the antidepressant. I am less  prone to get angry ,irritated ,impatient and to ""fly of the handle"".I take it after lunch and it keeps me going till at least 8 pm. I accomplish alot more in a day. And best of all feel good about myself.Vyvanse does not give you that dropped feeling when it is wearing off.",Sleeplessness seems to be a problem for me but I have been like that most of my life . Vyvanse affects my sleep alot less than adderall xr .,"adderall 30mg. in morning .Helps me get up
Vyvanse 50mg early in the day, keeps me productive all day long"
341,neurontin,6,Moderately Effective,Mild Side Effects,"low back pain, radiating to left leg","To tell the truth, I did not benefit very much from this medication, even though I was taking maximum doses, the pain remained almost the same with or without medication. Maybe some people are more responsive to these kind of treatment, unfortunately not in my case.","I did not experience many side effects, even though I was taking many pain medications at a time, I could say very little drowsiness, but compared with other people taking the same medication, I would say I tolerated quite well the medication.","My medical condition was the result of a disc herniation at L5-S1 level, with no compression of the nerve root, besides use of NSAIDs, muscle relaxants, and Neurontin, I had little response. I underwent also Phisiotherapy, Ultrasonograpy and other therapy. I have to say that finally I decided to receive alternative therapy (Accupunture) and started practising Qi Gong and that in a few weeks I abandoned all medication and the pain began to ameliorate to a total recovery. 
I still believe that drugs are effective and are indicated in specific conditions, but I also Know that not everybody responds in the same way to medication."
3212,benicar,8,Moderately Effective,Mild Side Effects,hypertension/high blood pressure,"lowers blood pressure and helps prevent strokes. Helps the patient to function without the tingling, headaches, and chest pain that comes from having blood pressure too high.",The only side effects I felt was a drained feeling when my blood pressure went down.,"I take one 40 mg Benicar in the evening because that is when my blood pressure comes up. If I wake up in the middle of the night and my blood pressure is up again from my sleep apnea, then I take another half. I have to drink a lot more water too, as this helps the Benicar to break down quicker."
879,paxil,3,Moderately Effective,Severe Side Effects,depression/anxiety/ptsd,"Loss of depression, reprieve from PTSD symptoms","Suicidal thoughts, disconnection from friends and family",I was monitored on a quarterly basis by a psychiatrist who prescribed Paxil and Trazadone.
1517,glucophage,8,Considerably Effective,Mild Side Effects,elevated glucose,Decreased Blood Glocose Levels. Decreased appitite. Less cravings for carbohydrates.,Loose stools in first week of treatment. Minor stomach upset for first day or two of treatment. All side effects mild and transient.,Treatment once a day at night. Evidence suggests that glucophage/metformin mimics the biological effect of calorie restriction for life extension.
372,lamotrigine,9,Highly Effective,Mild Side Effects,bipolar disorder,"I began taking this medication during a very unstable period in my life and when I had been rapid cycling and experiencing mixed states, and over a 2 yr period it greatly helped increase my self-worth and overall stability. It helped me to get control of my life and avoid the severe depressions I was prone to, as well as putting a cap on my manias. I still felt mild highs or maybe natural euphorias but they are not manic-y and crazy. I even started being able to get sleepy at a normal hour and wake up in the morning. While on the medication I feel much clearer in general in my thoughts, so if I still feel down or up I am more confident in my ability to manage it. I feel like I am not overly leveled out and blah like I felt with Depakote, more like I avoid the worst and can be in control.","After 2 years and stopping for several months then starting again, I developed a rash which my psych guessed was the lamictal, although i don't understand why it started suddenly after so long! I convinced him to let me try again, however if I develop another rash I'll be switching to zyprexa.",taken consistently for 2 years along w lexapro varying from 5 to 20 mg. occasionally risperdal as well.
2638,toradol,8,Considerably Effective,Moderate Side Effects,pain after dental surgery,"Pain, (which was not controlled by Acetaminophen w/Codeine #3), was reduced to a manageable state with Ketorolac.","Constipation and loss of appetite, which were of little consequence, but the NAUSEA was problematic. Pepto-bismol tablets were used to try to control the nausea.","Three dental implants were being implanted into the front, lower jawbone to anchor a bridge replacing 4 lower incisors and 2 lower canine teeth."
2581,lidex,7,Considerably Effective,No Side Effects,dermatitis,"The ointment kept the symptoms of the dermatitis(i.e. itching, scaling and cracking) to a minimum.  As long as the treatment was part of my daily regiment it was very effective.","When I fell behind on the regular application of the ointment, the dermatitis would flare up within 2-3 days.  Unfortunately, the ointment fails to ""cure"" the problem and only treats the symptoms.",The application is very simple.  Just apply the ointment to the affected area(bottoms of my feet) twice a day.  The Dr. recommended I exfoliate the area regularly to remove any build-up of skin.  Following that recommendation I would use a pumice stone 4-5 times a week prior to applying the treatment.
893,paxil,4,Considerably Effective,Moderate Side Effects,panic attack and anxiety,The Paxil relieved my anxiety and mild panic attacks at first. After time my doctor needed to increase the dose to get the same effect.,The side affects were that I needed an abnormal amount of sleep.  The higher the dose the more time I slept.  Also my blood pressure went up and I gained a lot of wieght.,"I started with half a 10mg pill a day. It was the increased to a full 10mg a day.  I then went to a 10mg and a half pill a day. Then went to 20mg a day.
I then went off Paxil entirely. My blood pressure went down and I lost a good anount of wieght but not all that I had gained. I did have some very high axiety at first but then it subsided."
3676,effexor-xr,9,Highly Effective,No Side Effects,major depression,"Alleviated my despair, gave me back some control of my emotions and motivated me to work harder at managing my depression and get out of the house.",May have contributed to my insomnia.,"Before I started taking Effexor I had tried Lexapro and Cymbalta with unsatisfactory results.  Having weaned off those, it was hard just to get out of bed - I was missing work and couldn't hold it together at all.  Within a couple of days of taking this I started to feel better.  It's been the best so far at managing my depression but I still needed other drugs to help with mood swings and anxiety.  Overall a good payoff, just wish it was generic!"
1333,prevacid,1,Ineffective,Extremely Severe Side Effects,indigestion,This was recommended to me instead of Gaviscon.  Supposedly it was a better solution for my indigestion.  Instead it was a disaster.,"Terrible Terrible.   I already suffer from constipation, but I took one of these tablets, as prescribed, for two consecutive days.  After two days I knew they were a no-no for me.  My innards came to a complete STOP. I shall throw the remainder of the tablets away.  Four days on my innards are still at a standstill.","Take one per day.

I have stopped taking them.  Don't forget I already take Dulcolax for my constipation, had I known these recommended tablets had a side effect of constipation I would have refused them.

It is back to the Gaviscon for me, it is gentle, pleasant to take and liquid.
Shell-like Capsules and me do not get along."
2415,synthroid,10,Considerably Effective,No Side Effects,hypthyroidsim,The benefit was a reduction the fatigue that I was feeling on a daily basis.,"There are no noticeable side effects, other than that if I am lapse in taking it, I feel extremely tired.","The treatment plan is one pill daily, the prescription comes in monthly doses and is renewed indefinitely. Regular blood test are done to test the amount of thyroid hormone in the blood system."
96,pristiq,7,Highly Effective,Moderate Side Effects,migraine headaches,"My headaches were less frequent, less severe, my PMDD symptoms decreased drastically.","When coming off of the drug, my eyes hurt (felt like there was pressure on my eye-balls), had severe dizzy and nauseau.",I was given the drug to take once a day to help with severe migraines that were triggered due to stress and severe PMS symptoms.
2770,duac,3,Ineffective,No Side Effects,"skin probles - acne, balckheads","I could not observe any benefits: my blackheads remained as they were, and acne remained. Probably my problem was not severe enough to see the results, however, due to no observed change I stopped using it.","I have not noticed any side effects. Though I am susceptible to various allergies, I have not had any breakouts or worsening effects. Also, blackheads and acne did not become any worse.","I was prescribed to use 2 cream gels - duac and tazorac. I was using small amount of each: duac as night cream, and tazorac as a day cream."
2651,diclofenac,6,Highly Effective,Moderate Side Effects,pinched nerve from bulging disc & disseminated pai,The pain was greatly diminished and I was able to live my life in relative comfort.,It caused my liver function tests to become elevated.  This was discovered by accident on a routine physical.,"I was taken off the diclofenac to see if that was the cause of the elevated liver enzymes; the tests were repeated about 6 weeks later.  They came back normal once the drug was out of my system.  I went back to suffering a great deal of pain and was sent to physical therapy, which didn't help.  I ended up having a nerve block done for the spinal problem, which has fixed the pain.  The other disseminated pain I have, was later treated very successfully with tramadol, 100 mg., two 3X daily, plus gabapentin, 600 mg, one 3X daily."
3045,seroquel,8,Considerably Effective,Moderate Side Effects,bipolar/raciness/insomnia,"better sleep, less raciness",tired during the day.  wetting my pants at night.  weakness during day,started at around 300mg and went up to 900mg but that was too much.  Then moved to 600mg and doing fine..  I think a person needs to find the minum dose that works to avoid side effects.  I am told that many people need high doses in the 600 to 800mg range to get results..
